業態コード,業態名称,営業部コード,営業部名称,店舗コード,店舗名称,営業日,曜日,曜日区分,店休,天候,最高気温,最低気温,売上分類,売上実績,売上月次予算,売上予算比,売上累計予算比,売上前年,売上前年比,客数実績,組数実績,客数客単価,客数回転数,客数月次予算,客数予算比,客数前年,客数前年比,仕入月次予算,仕入実績,売上仕入率,累計仕入率,人件費月次予算,人件費実績,売上人件費率,累計人件費率,売上FL率,累計FL率,労働時間,人時売上,廃棄額,売上廃棄率,イベント
0002,千房FC,500003,FC第3エリア,563   ,北新地,2026/05/16,土,土曜,,晴,27.0,19.0,計,11560,189448,0.0610,1.0748,,,2,1,5780.0,,17,0.1176,,,10800,,0.0000,0.0634,,0,0.0000,0.0000,0.0000,0.0634,0,,,0.0000,
0002,千房FC,500003,FC第3エリア,563   ,北新地,2026/05/17,日,日祝,休,晴,29.0,17.0,計,,0,,1.0748,,,,,,,0,,,,0,,,0.0634,,0,,0.0000,,0.0634,0,,,,
1004,千房フロンティア,300000,IZAKAYA事業部,703   ,いやさか 福島本店,2026/05/11,月,平日,,晴,25.0,15.0,計,260566,350000,0.7445,0.7445,251704,1.0352,75,15,3474.2,1.04,92,0.8152,67,1.1194,0,66753,0.2562,0.2562,0,74304,0.2852,0.2852,0.5413,0.5413,3246,4816.4,,0.0000,
1004,千房フロンティア,300000,IZAKAYA事業部,703   ,いやさか 福島本店,2026/05/12,火,平日,,曇,26.0,18.0,計,112897,350000,0.3226,0.5335,398672,0.2832,34,11,3320.5,0.47,92,0.3696,97,0.3505,0,112550,0.9969,0.4801,0,50307,0.4456,0.3337,1.4425,0.8138,2213,3060.9,,0.0000,
1004,千房フロンティア,300000,IZAKAYA事業部,703   ,いやさか 福島本店,2026/05/13,水,平日,,雨,25.0,19.0,計,374244,350000,1.0693,0.7121,361342,1.0357,92,16,4067.9,1.28,92,1.0000,90,1.0222,0,19661,0.0525,0.2661,0,89488,0.2391,0.2863,0.2917,0.5524,3977,5646.1,,0.0000,
1004,千房フロンティア,300000,IZAKAYA事業部,703   ,いやさか 福島本店,2026/05/14,木,平日,,晴,27.0,17.0,計,417366,350000,1.1925,0.8322,348323,1.1982,92,21,4536.6,1.28,92,1.0000,93,0.9892,0,80917,0.1939,0.2402,0,95660,0.2292,0.2659,0.4231,0.5061,4136,6054.6,,0.0000,
1004,千房フロンティア,300000,IZAKAYA事業部,703   ,いやさか 福島本店,2026/05/15,金,平日,,晴,28.0,17.0,計,418835,400000,1.0471,0.8799,438488,0.9552,109,17,3842.5,1.51,105,1.0381,132,0.8258,0,52775,0.1260,0.2100,0,91528,0.2185,0.2534,0.3445,0.4634,3934,6387.9,,0.0000,
1004,千房フロンティア,300000,IZAKAYA事業部,703   ,いやさか 福島本店,2026/05/16,土,土曜,,晴,27.0,19.0,計,348077,350000,0.9945,0.8986,423272,0.8223,104,26,3346.9,1.44,92,1.1304,108,0.9630,0,73473,0.2111,0.2102,0,89533,0.2572,0.2541,0.4683,0.4643,3864,5404.9,,0.0000,
1004,千房フロンティア,300000,IZAKAYA事業部,703   ,いやさか 福島本店,2026/05/17,日,日祝,,晴,29.0,17.0,計,,0,,0.8986,,,,,,0,0,,,,0,,,0.2102,0,0,,0.2541,,0.4643,0,,,,
1004,千房フロンティア,300000,IZAKAYA事業部,705   ,ときわ福島,2026/05/11,月,平日,,晴,25.0,15.0,計,120002,110000,1.0909,1.0909,68750,1.7455,29,3,4138.0,0.73,28,1.0357,25,1.1600,0,27391,0.2283,0.2283,0,16987,0.1416,0.1416,0.3698,0.3698,812,8867.1,,0.0000,
1004,千房フロンティア,300000,IZAKAYA事業部,705   ,ときわ福島,2026/05/12,火,平日,,曇,26.0,18.0,計,61414,110000,0.5583,0.8246,133804,0.4590,16,5,3838.4,0.40,28,0.5714,35,0.4571,0,10230,0.1666,0.2074,0,10378,0.1690,0.1508,0.3356,0.3582,406,9076.0,,0.0000,
1004,千房フロンティア,300000,IZAKAYA事業部,705   ,ときわ福島,2026/05/13,水,平日,,雨,25.0,19.0,計,99429,110000,0.9039,0.8510,111775,0.8895,27,4,3682.6,0.68,28,0.9643,31,0.8710,0,10121,0.1018,0.1700,0,18169,0.1827,0.1621,0.2845,0.3321,774,7707.7,,0.0000,
1004,千房フロンティア,300000,IZAKAYA事業部,705   ,ときわ福島,2026/05/14,木,平日,,晴,27.0,17.0,計,113358,110000,1.0305,0.8959,127948,0.8860,30,7,3778.6,0.75,28,1.0714,27,1.1111,0,5443,0.0480,0.1349,0,11252,0.0993,0.1441,0.1473,0.2790,434,15671.6,,0.0000,
1004,千房フロンティア,300000,IZAKAYA事業部,705   ,ときわ福島,2026/05/15,金,平日,,晴,28.0,17.0,計,181767,130000,1.3982,1.0105,135387,1.3426,43,8,4227.1,1.08,34,1.2647,38,1.1316,0,,0.0000,0.0923,0,31584,0.1738,0.1534,0.1738,0.2458,1371,7954.8,,0.0000,
1004,千房フロンティア,300000,IZAKAYA事業部,705   ,ときわ福島,2026/05/16,土,土曜,,晴,27.0,19.0,計,132222,110000,1.2020,1.0415,155450,0.8506,35,8,3777.8,0.88,28,1.2500,43,0.8140,0,,0.0000,0.0751,0,21135,0.1598,0.1546,0.1598,0.2297,856,9267.9,,0.0000,
1004,千房フロンティア,300000,IZAKAYA事業部,705   ,ときわ福島,2026/05/17,日,日祝,,晴,29.0,17.0,計,,0,,1.0415,,,,,,0,0,,,,0,,,0.0751,0,0,,0.1546,,0.2297,0,,,,
1004,千房フロンティア,300000,IZAKAYA事業部,706   ,いやさか別邸(旧 大阪吉野工房),2026/05/11,月,平日,,晴,25.0,15.0,計,1139,1000,1.1390,1.1390,0,,1,1,1139.0,,1,1.0000,0,,0,10424,9.1519,9.1519,0,0,0.0000,0.0000,9.1519,9.1519,0,,,0.0000,
1004,千房フロンティア,300000,IZAKAYA事業部,706   ,いやさか別邸(旧 大阪吉野工房),2026/05/12,火,平日,,曇,26.0,18.0,計,2278,1000,2.2780,1.7085,1047,2.1757,1,1,2278.0,,1,1.0000,1,1.0000,0,,0.0000,3.0506,0,0,0.0000,0.0000,0.0000,3.0506,0,,,0.0000,
1004,千房フロンティア,300000,IZAKAYA事業部,706   ,いやさか別邸(旧 大阪吉野工房),2026/05/13,水,平日,,雨,25.0,19.0,計,0,2000,0.0000,0.8543,3232,0.0000,0,0,,,1,0.0000,2,0.0000,0,,,3.0506,0,0,,0.0000,,3.0506,0,,,,
1004,千房フロンティア,300000,IZAKAYA事業部,706   ,いやさか別邸(旧 大阪吉野工房),2026/05/14,木,平日,,晴,27.0,17.0,計,0,2000,0.0000,0.5695,2408,0.0000,0,0,,,1,0.0000,1,0.0000,0,,,3.0506,0,0,,0.0000,,3.0506,0,,,,
1004,千房フロンティア,300000,IZAKAYA事業部,706   ,いやさか別邸(旧 大阪吉野工房),2026/05/15,金,平日,,晴,28.0,17.0,計,1139,2000,0.5695,0.5695,0,,1,1,1139.0,,1,1.0000,0,,0,,0.0000,2.2880,0,0,0.0000,0.0000,0.0000,2.2880,0,,,0.0000,
1004,千房フロンティア,300000,IZAKAYA事業部,706   ,いやさか別邸(旧 大阪吉野工房),2026/05/16,土,土曜,,晴,27.0,19.0,計,1139,2000,0.5695,0.5695,2158,0.5278,1,1,1139.0,,1,1.0000,2,0.5000,0,,0.0000,1.8304,0,0,0.0000,0.0000,0.0000,1.8304,0,,,0.0000,
1004,千房フロンティア,300000,IZAKAYA事業部,706   ,いやさか別邸(旧 大阪吉野工房),2026/05/17,日,日祝,,晴,29.0,17.0,計,,0,,0.5695,,,,,,,0,,,,0,,,1.8304,0,0,,0.0000,,1.8304,0,,,,
